EXP_id	Herb/ingredient_id	Herb/ingredient_name	Herb/ingredient	GSE_id	Organism	Strain	Tissue	Cell_Type	Cell_line	Experiment_type	Sequence_type	Experiment_subject	Experiment_subject_detail	Experiment_special_pretreatment	Control_condition	Control_samples	Treatment_condition	Treatment_samples	Drug_delivery	Plat_info
HBEXP000397	HBIN027407	gedunin	Ingredient	GSE5506	Homo sapiens			Prostate cancer	LNCaP	Expression profiling by array	Total RNA	human cellline	Prostate cancer; LNCaP	grown to 50% confluency	DMSO	GSM127023; GSM127024; GSM127025	20uM gedunin for 6h	GSM127020; GSM127021; GSM127022	treated	GPL3921:[HT_HG-U133A] Affymetrix HT Human Genome U133A Array
HBEXP000398	HBIN027450	Geniposide	Ingredient	GSE85871	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	vehicle control (DMSO)	GSM2286248; GSM2286249; GSM2286316; GSM2286317; GSM2286398; GSM2286399	10uM Geniposide for 12h	GSM2286350; GSM2286351	treated	GPL571:[HG-U133A_2] Affymetrix Human Genome U133A 2.79 Array
HBEXP000399	HBIN027456	genistein	Ingredient	GSE138500	Mus musculus	CD-1	Uterus			Expression profiling by array	Total RNA	CD-1 mice	CD-1; Uterus	/	corn oil 	GSM4109913; GSM4109914; GSM4109915	genistein (GEN) at a dose of 50 mg/kg/day on postnatal day 1.5	GSM4109916; GSM4109917; GSM4109918; GSM4109919	exposed	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
HBEXP000400	HBIN027456	genistein	Ingredient	GSE138500	Mus musculus	CD-1	Uterus			Expression profiling by array	Total RNA	CD-1 mice	CD-1; Uterus	/	corn oil 	GSM4109913; GSM4109914; GSM4109915	genistein (GEN) at a dose of 50 mg/kg/day on postnatal day 3.5	GSM4109923; GSM4109924; GSM4109925	exposed	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
HBEXP000401	HBIN027456	genistein	Ingredient	GSE138500	Mus musculus	CD-1	Uterus			Expression profiling by array	Total RNA	CD-1 mice	CD-1; Uterus	/	corn oil 	GSM4109913; GSM4109914; GSM4109915	genistein (GEN) at a dose of 50 mg/kg/day on postnatal day 4.5	GSM4109930; GSM4109931; GSM4109932; GSM4109933	exposed	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
HBEXP000402	HBIN027456	genistein	Ingredient	GSE138500	Mus musculus	CD-1	Uterus			Expression profiling by array	Total RNA	CD-1 mice	CD-1; Uterus	/	corn oil 	GSM4109913; GSM4109914; GSM4109915	genistein (GEN) at a dose of 50 mg/kg/day on postnatal day 5.5	GSM4109938; GSM4109939; GSM4109940; GSM4109941	exposed	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
HBEXP000403	HBIN027456	genistein	Ingredient	GSE1839	Mus musculus	APfCD-1	Uterus			Expression profiling by array	Total RNA	APfCD-1 mice	APfCD-1; Uterus	/	vehicle control	GSM32181; GSM32182; GSM32183	50mg/kg genistein for 3 days	GSM32184; GSM32185; GSM32186	subcutaneous injection	GPL81:[MG_U74Av2] Affymetrix Murine Genome U74A Version 2 Array
HBEXP000404	HBIN027456	genistein	Ingredient	GSE23523	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	/	DMSO	GSM576119; GSM576120	125mg/kg genistein	GSM576121; GSM576122	intra-peritoneal injection	GPL10569:Agilent Mouse 60K Genotypic Designed Array
HBEXP000405	HBIN027456	genistein	Ingredient	GSE23523	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	/	DMSO	GSM576119; GSM576120	250mg/kg genistein	GSM576123; GSM576124	intra-peritoneal injection	GPL10569:Agilent Mouse 60K Genotypic Designed Array
HBEXP000406	HBIN027456	genistein	Ingredient	GSE23523	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	/	DMSO	GSM576119; GSM576120	500mg/kg genistein	GSM576125; GSM576126	intra-peritoneal injection	GPL10569:Agilent Mouse 60K Genotypic Designed Array
HBEXP000407	HBIN027456	genistein	Ingredient	GSE27639	Mus musculus	CD-1	Oviduct			Expression profiling by array	Total RNA	mouse CD-1	CD-1; Oviduct	/	corn oil 	GSM684871; GSM684872; GSM684873; GSM684874	genistein 50 mg/kg/day in corn oil for 5 days	GSM684875; GSM684876; GSM684877; GSM684878	treated	GPL4134:Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)
HBEXP000408	HBIN027456	genistein	Ingredient	GSE2889	Mus musculus	C57BL/6	Thymuse			Expression profiling by array	Total RNA	mouse C57BL/6 female	C57BL/6; Thymuse	/	no treatment	GSM63205; GSM63206	Genistein for 2 days	GSM63214; GSM63215	feed	GPL339:[MOE430A] Affymetrix Mouse Expression 430A Array
HBEXP000409	HBIN027456	genistein	Ingredient	GSE2889	Mus musculus	C57BL/6	Thymuse			Expression profiling by array	Total RNA	mouse C57BL/6 female	C57BL/6; Thymuse	/	no treatment	GSM63205; GSM63206	Genistein for 3 days	GSM63216; GSM63217	feed	GPL339:[MOE430A] Affymetrix Mouse Expression 430A Array
HBEXP000410	HBIN027456	genistein	Ingredient	GSE2889	Mus musculus	C57BL/6	Thymuse			Expression profiling by array	Total RNA	mouse C57BL/6 female	C57BL/6; Thymuse	/	no treatment	GSM63205; GSM63206	Genistein for 6 days	GSM63218; GSM63220	feed	GPL339:[MOE430A] Affymetrix Mouse Expression 430A Array
HBEXP000411	HBIN027456	genistein	Ingredient	GSE34074	Homo sapiens			Fibroblast	HDFa	Expression profiling by array	Total RNA	human	Fibroblast; HDFa	/	0.05% DMSO	GSM841414; GSM841426	30uM genistein for 1h	GSM841412; GSM841424	treated	GPL6947:Illumina HumanHT-12 V3.0 expression beadchip;GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000412	HBIN027456	genistein	Ingredient	GSE34074	Homo sapiens			Fibroblast	HDFa	Expression profiling by array	Total RNA	human	Fibroblast; HDFa	/	0.05% DMSO	GSM841414; GSM841426	100uM genistein for 1h	GSM841413; GSM841425	treated	GPL6947:Illumina HumanHT-12 V3.0 expression beadchip;GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000413	HBIN027456	genistein	Ingredient	GSE34074	Homo sapiens			Fibroblast	HDFa	Expression profiling by array	Total RNA	human	Fibroblast; HDFa	/	0.05% DMSO	GSM841414; GSM841426	100uM genistein for 24h	GSM841417; GSM841429	treated	GPL6947:Illumina HumanHT-12 V3.0 expression beadchip;GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
