Herb_,Herb_cn_name,segmented_function,segmented_indication
HERB000727,长叶榧树,[],[]
HERB000728,长叶哥纳香,[],[]
HERB000729,长叶厚壳桂,[],[]
HERB000730,,[],[]
HERB000731,,[],[]
HERB000732,长叶千里光,[],[]
HERB000733,长叶水麻,[],[]
HERB000734,长叶松,[],[]
HERB000735,长叶天名精,[],[]
HERB000736,长叶香茶菜,[],[]
HERB000737,长叶野萝卜,[],[]
HERB000738,,[],[]
HERB000739,长圆叶小波,[],[]
HERB000740,唐松草,[],[]
HERB000741,长籽马钱,[],[]
HERB000742,当归,[],[]
HERB000743,,[],[]
HERB000744,潮风草,[],[]
HERB000745,炒麦芽,[],[]
HERB000746,炒山甲,[],[]
HERB000747,炒山甲珠,[],[]
HERB000748,炒神曲,[],[]
HERB000749,炒苏子,[],[]
HERB000750,朝鲜白头翁,[],[]
HERB000751,朝鲜苍术,[],[]
HERB000752,,[],[]
HERB000753,朝鲜当归,[],[]
HERB000754,朝鲜槐,[],[]
HERB000755,朝鲜蓟,[],[]
HERB000756,朝鲜狼牙刺,[],[]
HERB000757,朝鲜冷杉,[],[]
HERB000758,朝鲜连翘,[],[]
HERB000759,朝鲜罗万,[],[]
HERB000760,,[],[]
HERB000761,朝鲜五角枫,[],[]
HERB000762,朝鲜淫羊藿,[],[]
HERB000763,炒香干蟾蜍,[],[]
HERB000764,炒枣仁,[],"['2.5', '5.0']"
HERB000765,炒枳壳,[],[]
HERB000766,车前,[],[]
HERB000767,车前草,[],[]
HERB000768,车前叶蓝蓟,[],[]
HERB000769,车前与车前草,[],[]
HERB000770,车前子,[],[]
HERB000771,车桑子叶,[],[]
HERB000772,,[],[]
HERB000773,陈冬菜卤汁,[],[]
HERB000774,陈蒿,[],[]
HERB000775,陈皮,[],[]
HERB000776,辰砂,[],[]
HERB000777,沉香,[],[]
HERB000778,陈棕炭,[],[]
HERB000779,秤杆草,[],[]
HERB000780,秤杆升麻,[],[]
HERB000781,,[],[]
HERB000782,西南唐松草,[],[]
HERB000783,柽柳,[],[]
HERB000784,,[],[]
HERB000785,澄茄子,[],[]
HERB000786,蛏子,[],[]
HERB000787,,[],[]
HERB000788,,[],[]
HERB000789,,[],[]
HERB000790,,[],[]
HERB000791,齿瓣延胡索,[],[]
HERB000792,,[],[]
HERB000793,赤豆,[],[]
HERB000794,赤茯苓,[],[]
HERB000795,赤梗藤,[],[]
HERB000796,翅果黄芪,[],[]
HERB000797,翅果藤,[],[]
HERB000798,,[],[]
HERB000799,赤楠,[],[]
HERB000800,赤芍,[],[]
HERB000801,,[],[]
HERB000802,赤芍药,[],[]
HERB000803,赤石脂,[],[]
HERB000804,赤松,[],[]
HERB000805,赤硝,[],[]
HERB000806,赤小豆,[],[]
HERB000807,,[],[]
HERB000808,赤阳子,[],[]
HERB000809,齿叶草,[],[]
HERB000810,驰野美登木,[],[]
HERB000811,齿叶睡莲,[],[]
HERB000812,,[],[]
HERB000813,齿叶橐吾,[],[]
HERB000814,虫白蜡,[],[]
HERB000815,重瓣萱草,[],[]
HERB000816,重瓣栀子,[],[]
HERB000817,重唇鱼,[],[]
HERB000818,重楼,[],[]
HERB000819,重楼排草,[],[]
HERB000820,崇明八角莲,[],[]
HERB000821,,[],[]
HERB000822,茺蔚子,[],[]
HERB000823,,[],[]
HERB000824,臭阿魏,[],[]
HERB000825,臭柏,[],[]
HERB000826,臭草,[],[]
HERB000827,臭节草根,[],[]
HERB000828,臭冷杉,[],[]
HERB000829,臭茉莉,[],[]
HERB000830,臭牡丹,[],[]
HERB000831,臭牡丹根,[],[]
